crypto,price_usd,price_eur,change_24h,timestamp
Bitcoin,83816.0,77110.72,-8.88,2025-11-21 10:05:52.843037
Ethereum,2742.53,2523.13,-9.45,2025-11-21 10:05:52.843037
Solana,128.43,118.16,-10.27,2025-11-21 10:05:52.843037
Bitcoin,83631.0,76940.52,-9.06,2025-11-21 10:17:19.240480
Ethereum,2734.07,2515.34,-9.63,2025-11-21 10:17:19.240480
Solana,128.39,118.12,-10.18,2025-11-21 10:17:19.240480
Bitcoin,83631.0,76940.52,-9.06,2025-11-21 10:17:26.198642
Ethereum,2734.07,2515.34,-9.63,2025-11-21 10:17:26.198642
Solana,128.39,118.12,-10.18,2025-11-21 10:17:26.198642
Bitcoin,83303.0,76638.76,-9.27,2025-11-21 10:25:08.939737
Ethereum,2722.28,2504.5,-9.83,2025-11-21 10:25:08.939737
Solana,128.09,117.84,-10.31,2025-11-21 10:25:08.939737
Bitcoin,85972.0,79094.24,-0.91,2025-11-24 12:21:44.890379
Ethereum,2796.07,2572.38,-1.12,2025-11-24 12:21:44.890379
Solana,129.13,118.8,-0.92,2025-11-24 12:21:44.890379
Bitcoin,87248.0,80268.16,1.48,2025-11-25 10:51:19.702979
Ethereum,2895.57,2663.92,3.38,2025-11-25 10:51:19.702979
Solana,136.64,125.71,5.82,2025-11-25 10:51:19.702979
Bitcoin,86807.0,79862.44,-0.45,2025-11-26 10:50:11.438634
Ethereum,2909.94,2677.14,0.53,2025-11-26 10:50:11.438634
Solana,137.08,126.11,0.32,2025-11-26 10:50:11.438634
Bitcoin,91566.0,84240.72,5.44,2025-11-27 10:47:36.791605
Ethereum,3031.14,2788.65,4.12,2025-11-27 10:47:36.791605
Solana,141.94,130.58,3.56,2025-11-27 10:47:36.791605
Bitcoin,91632.0,84301.44,0.04,2025-11-28 10:45:13.751158
Ethereum,3052.84,2808.61,0.88,2025-11-28 10:45:13.751158
Solana,141.91,130.56,0.13,2025-11-28 10:45:13.751158
Bitcoin,90618.0,83368.56,-1.11,2025-11-29 10:41:29.768608
Ethereum,3005.0,2764.6,-1.53,2025-11-29 10:41:29.768608
Solana,136.95,125.99,-3.47,2025-11-29 10:41:29.768608
Bitcoin,91264.0,83962.88,0.71,2025-11-30 10:40:52.758818
Ethereum,3010.04,2769.24,0.15,2025-11-30 10:40:52.758818
Solana,136.8,125.86,-0.1,2025-11-30 10:40:52.758818
Bitcoin,86643.0,79711.56,-5.05,2025-12-01 10:52:07.027946
Ethereum,2843.55,2616.07,-5.5,2025-12-01 10:52:07.027946
Solana,127.15,116.98,-6.98,2025-12-01 10:52:07.027946
Bitcoin,87157.0,80184.44,0.6,2025-12-02 10:50:06.025255
Ethereum,2817.13,2591.76,-0.93,2025-12-02 10:50:06.025255
Solana,127.47,117.27,0.25,2025-12-02 10:50:06.025255
Bitcoin,92987.0,85548.04,6.65,2025-12-03 10:52:35.961020
Ethereum,3059.86,2815.07,8.58,2025-12-03 10:52:35.961020
Solana,141.52,130.2,11.0,2025-12-03 10:52:35.961020
Bitcoin,93240.0,85780.8,0.27,2025-12-04 10:51:39.297470
Ethereum,3189.08,2933.95,4.22,2025-12-04 10:51:39.297470
Solana,143.55,132.07,1.43,2025-12-04 10:51:39.297470
Bitcoin,91478.0,84159.76,-1.91,2025-12-05 10:47:07.458171
Ethereum,3145.33,2893.7,-1.53,2025-12-05 10:47:07.458171
Solana,137.8,126.78,-4.08,2025-12-05 10:47:07.458171
Bitcoin,89544.0,82380.48,-1.99,2025-12-06 10:40:19.519763
Ethereum,3031.1,2788.61,-3.66,2025-12-06 10:40:19.519763
Solana,132.57,121.96,-3.7,2025-12-06 10:40:19.519763
Bitcoin,89127.0,81996.84,-0.47,2025-12-07 10:38:33.474500
Ethereum,3033.2,2790.54,0.07,2025-12-07 10:38:33.474500
Solana,131.85,121.3,-0.55,2025-12-07 10:38:33.474500
Bitcoin,92190.0,84814.8,3.16,2025-12-08 10:51:42.453012
Ethereum,3159.67,2906.9,3.83,2025-12-08 10:51:42.453012
Solana,138.98,127.86,4.96,2025-12-08 10:51:42.453012
Bitcoin,90142.0,82930.64,-2.16,2025-12-09 10:51:14.422781
Ethereum,3104.86,2856.47,-1.74,2025-12-09 10:51:14.422781
Solana,132.45,121.85,-4.7,2025-12-09 10:51:14.422781
Bitcoin,92211.0,84834.12,2.23,2025-12-10 10:53:10.802674
Ethereum,3315.71,3050.45,6.78,2025-12-10 10:53:10.802674
Solana,137.06,126.1,3.45,2025-12-10 10:53:10.802674
Bitcoin,90297.0,83073.24,-2.17,2025-12-11 10:52:46.143999
Ethereum,3195.33,2939.7,-3.66,2025-12-11 10:52:46.143999
Solana,130.7,120.24,-4.63,2025-12-11 10:52:46.143999
Bitcoin,92468.0,85070.56,2.51,2025-12-12 10:50:36.540972
Ethereum,3246.1,2986.41,1.76,2025-12-12 10:50:36.540972
Solana,138.06,127.02,5.63,2025-12-12 10:50:36.540972
Bitcoin,90562.0,83317.04,-2.03,2025-12-13 10:41:02.410393
Ethereum,3128.18,2877.93,-3.65,2025-12-13 10:41:02.410393
Solana,133.95,123.23,-3.05,2025-12-13 10:41:02.410393
Bitcoin,89899.0,82707.08,-0.7,2025-12-14 10:41:57.348757
Ethereum,3104.54,2856.18,-0.8,2025-12-14 10:41:57.348757
Solana,131.68,121.15,-1.75,2025-12-14 10:41:57.348757
Bitcoin,89875.0,82685.0,0.0,2025-12-15 10:55:21.524142
Ethereum,3158.62,2905.93,1.64,2025-12-15 10:55:21.524142
Solana,132.52,121.92,0.5,2025-12-15 10:55:21.524142
Bitcoin,86944.0,79988.48,-3.24,2025-12-16 10:53:27.786361
Ethereum,2946.55,2710.83,-6.67,2025-12-16 10:53:27.786361
Solana,128.22,117.96,-3.22,2025-12-16 10:53:27.786361
Bitcoin,86685.0,79750.2,-0.43,2025-12-17 10:52:34.084945
Ethereum,2920.52,2686.88,-1.0,2025-12-17 10:52:34.084945
Solana,126.63,116.5,-1.33,2025-12-17 10:52:34.084945
Bitcoin,87225.0,80247.0,0.63,2025-12-18 10:51:14.136087
Ethereum,2857.31,2628.73,-2.16,2025-12-18 10:51:14.136087
Solana,123.87,113.96,-2.18,2025-12-18 10:51:14.136087
Bitcoin,88132.0,81081.44,0.98,2025-12-19 10:49:16.215383
Ethereum,2952.28,2716.1,3.32,2025-12-19 10:49:16.215383
Solana,124.65,114.68,0.63,2025-12-19 10:49:16.215383
Bitcoin,88135.0,81084.2,0.21,2025-12-20 10:41:47.384396
Ethereum,2974.43,2736.48,0.86,2025-12-20 10:41:47.384396
Solana,126.02,115.94,1.19,2025-12-20 10:41:47.384396
Bitcoin,88731.0,81632.52,0.69,2025-12-21 10:42:17.247722
Ethereum,2998.92,2759.01,0.83,2025-12-21 10:42:17.247722
Solana,126.07,115.98,0.05,2025-12-21 10:42:17.247722
Bitcoin,89747.0,82567.24,1.16,2025-12-22 10:30:42.594418
Ethereum,3036.53,2793.61,1.19,2025-12-22 10:30:42.594418
Solana,126.49,116.37,0.19,2025-12-22 10:30:42.594418
Bitcoin,87536.0,80533.12,-2.37,2025-12-23 10:31:45.812422
Ethereum,2966.45,2729.13,-2.28,2025-12-23 10:31:45.812422
Solana,124.33,114.38,-1.7,2025-12-23 10:31:45.812422
Bitcoin,87001.0,80040.92,-0.63,2025-12-24 10:30:09.178538
Ethereum,2926.08,2691.99,-1.35,2025-12-24 10:30:09.178538
Solana,121.79,112.05,-2.04,2025-12-24 10:30:09.178538
Bitcoin,87362.0,80373.04,0.43,2025-12-25 10:30:15.772683
Ethereum,2918.77,2685.27,-0.26,2025-12-25 10:30:15.772683
Solana,121.72,111.98,-0.02,2025-12-25 10:30:15.772683
Bitcoin,88731.0,81632.52,1.54,2025-12-26 10:29:50.955797
Ethereum,2971.03,2733.35,1.74,2025-12-26 10:29:50.955797
Solana,123.5,113.62,1.48,2025-12-26 10:29:50.955797
Bitcoin,87544.0,80540.48,-1.27,2025-12-27 10:27:36.835975
Ethereum,2931.57,2697.04,-1.2,2025-12-27 10:27:36.835975
Solana,123.0,113.16,-0.37,2025-12-27 10:27:36.835975
Bitcoin,87880.0,80849.6,0.37,2025-12-28 10:27:59.231465
Ethereum,2939.53,2704.37,0.27,2025-12-28 10:27:59.231465
Solana,124.38,114.43,1.13,2025-12-28 10:27:59.231465
Bitcoin,87912.0,80879.04,0.07,2025-12-29 10:32:06.648875
Ethereum,2970.58,2732.93,1.09,2025-12-29 10:32:06.648875
Solana,125.77,115.71,1.1,2025-12-29 10:32:06.648875
Bitcoin,87884.0,80853.28,-0.03,2025-12-30 10:31:39.231920
Ethereum,2976.19,2738.09,0.19,2025-12-30 10:31:39.231920
Solana,124.5,114.54,-1.01,2025-12-30 10:31:39.231920
Bitcoin,88652.0,81559.84,0.9,2025-12-31 10:29:52.000055
Ethereum,2974.57,2736.6,-0.04,2025-12-31 10:29:52.000055
Solana,125.97,115.89,1.16,2025-12-31 10:29:52.000055
Bitcoin,87714.0,80696.88,-1.06,2026-01-01 10:31:01.487696
Ethereum,2978.71,2740.41,0.14,2026-01-01 10:31:01.487696
Solana,124.96,114.96,-0.83,2026-01-01 10:31:01.487696
Bitcoin,89592.0,82424.64,2.19,2026-01-02 10:29:51.663579
Ethereum,3053.06,2808.82,2.52,2026-01-02 10:29:51.663579
Solana,129.03,118.71,3.26,2026-01-02 10:29:51.663579
Bitcoin,89708.0,82531.36,0.21,2026-01-03 10:28:54.317117
Ethereum,3099.49,2851.53,1.55,2026-01-03 10:28:54.317117
Solana,130.97,120.49,1.57,2026-01-03 10:28:54.317117
